module_id,source,max_sim,top_match,mean_sim
spectral,description,0.4254,Mathlib.Analysis.InnerProductSpace.GramSchmidtOrtho,0.00362
sesquilinear,description,0.4124,Mathlib.LinearAlgebra.SesquilinearForm.Star,0.00285
finalg,description,0.2756,Mathlib.GroupTheory.GroupAction.IterateAct,0.01886
rat,description,0.3423,Mathlib.Lean.Expr.Rat,0.01766
polydiv,description,0.1934,Mathlib.Algebra.Polynomial.PartialFractions,0.01514
interval,description,0.236,Mathlib.Tactic.IntervalCases,0.01261
qpoly,description,0.2696,Mathlib.LinearAlgebra.Lagrange,0.01779
archimedean,description,0.1739,Mathlib.Algebra.Order.Archimedean.Submonoid,0.0053
countalg,description,0.3004,Mathlib.LinearAlgebra.Countable,0.00826
poly,description,0.3027,Mathlib.Algebra.Lie.Rank,0.01663
fraction,description,0.4045,Mathlib.RingTheory.Localization.AsSubring,0.01031
preorder,description,0.2112,Mathlib.Order.Types.Arithmetic,0.00534
all_order,name_only,0.5658,Mathlib.Order.Radical,0.00828
order,description,0.267,Mathlib.Order.Types.Arithmetic,0.00679
presentation,description,0.2516,Mathlib.Algebra.Module.Presentation.Tautological,0.01208
gproduct,description,0.2956,Mathlib.GroupTheory.SemidirectProduct,0.01281
perm,description,0.3559,Mathlib.Data.List.Permutation,0.01601
morphism,description,0.1649,Mathlib.GroupTheory.QuotientGroup.Finite,0.01566
all_fingroup,name_only,0.4082,Mathlib.GroupTheory.Abelianization.Finite,0.0072
action,description,0.2847,Mathlib.GroupTheory.GroupAction.Support,0.01394
quotient,description,0.3856,Mathlib.GroupTheory.DoubleCoset,0.01174
automorphism,description,0.4148,Mathlib.Algebra.Ring.Aut,0.01141
fingroup,description,0.182,Mathlib.GroupTheory.Abelianization.Finite,0.0158
