module_idx,module_name,label_idx,category
95,Mathlib.Algebra.Category.AlgCat.Basic,0,Algebra
96,Mathlib.Algebra.Category.AlgCat.Limits,0,Algebra
97,Mathlib.Algebra.Category.AlgCat.Monoidal,0,Algebra
98,Mathlib.Algebra.Category.AlgCat.Symmetric,0,Algebra
99,Mathlib.Algebra.Category.BialgCat.Basic,0,Algebra
100,Mathlib.Algebra.Category.BialgCat.Monoidal,0,Algebra
101,Mathlib.Algebra.Category.BoolRing,0,Algebra
102,Mathlib.Algebra.Category.CoalgCat.Basic,0,Algebra
103,Mathlib.Algebra.Category.CoalgCat.ComonEquivalence,0,Algebra
104,Mathlib.Algebra.Category.CoalgCat.Monoidal,0,Algebra
105,Mathlib.Algebra.Category.CommAlgCat.Basic,0,Algebra
106,Mathlib.Algebra.Category.CommAlgCat.FiniteType,0,Algebra
107,Mathlib.Algebra.Category.CommAlgCat.Monoidal,0,Algebra
108,Mathlib.Algebra.Category.CommBialgCat,0,Algebra
109,Mathlib.Algebra.Category.ContinuousCohomology.Basic,0,Algebra
110,Mathlib.Algebra.Category.FGModuleCat.Abelian,0,Algebra
111,Mathlib.Algebra.Category.FGModuleCat.Basic,0,Algebra
112,Mathlib.Algebra.Category.FGModuleCat.Colimits,0,Algebra
113,Mathlib.Algebra.Category.FGModuleCat.EssentiallySmall,0,Algebra
114,Mathlib.Algebra.Category.FGModuleCat.Limits,0,Algebra
115,Mathlib.Algebra.Category.Grp.AB,0,Algebra
116,Mathlib.Algebra.Category.Grp.Abelian,0,Algebra
117,Mathlib.Algebra.Category.Grp.Adjunctions,0,Algebra
118,Mathlib.Algebra.Category.Grp.Basic,0,Algebra
119,Mathlib.Algebra.Category.Grp.Biproducts,0,Algebra
120,Mathlib.Algebra.Category.Grp.CartesianMonoidal,0,Algebra
121,Mathlib.Algebra.Category.Grp.Colimits,0,Algebra
122,Mathlib.Algebra.Category.Grp.EnoughInjectives,0,Algebra
123,Mathlib.Algebra.Category.Grp.EpiMono,0,Algebra
124,Mathlib.Algebra.Category.Grp.EquivalenceGroupAddGroup,0,Algebra
125,Mathlib.Algebra.Category.Grp.FilteredColimits,0,Algebra
126,Mathlib.Algebra.Category.Grp.FiniteGrp,0,Algebra
127,Mathlib.Algebra.Category.Grp.ForgetCorepresentable,0,Algebra
128,Mathlib.Algebra.Category.Grp.Images,0,Algebra
129,Mathlib.Algebra.Category.Grp.Injective,0,Algebra
130,Mathlib.Algebra.Category.Grp.IsFinite,0,Algebra
131,Mathlib.Algebra.Category.Grp.Kernels,0,Algebra
132,Mathlib.Algebra.Category.Grp.LargeColimits,0,Algebra
133,Mathlib.Algebra.Category.Grp.LeftExactFunctor,0,Algebra
134,Mathlib.Algebra.Category.Grp.Limits,0,Algebra
135,Mathlib.Algebra.Category.Grp.Preadditive,0,Algebra
136,Mathlib.Algebra.Category.Grp.Subobject,0,Algebra
137,Mathlib.Algebra.Category.Grp.Ulift,0,Algebra
138,Mathlib.Algebra.Category.Grp.Yoneda,0,Algebra
139,Mathlib.Algebra.Category.Grp.ZModuleEquivalence,0,Algebra
140,Mathlib.Algebra.Category.Grp.Zero,0,Algebra
141,Mathlib.Algebra.Category.GrpWithZero,0,Algebra
142,Mathlib.Algebra.Category.HopfAlgCat.Basic,0,Algebra
143,Mathlib.Algebra.Category.HopfAlgCat.Monoidal,0,Algebra
144,Mathlib.Algebra.Category.ModuleCat.AB,0,Algebra
145,Mathlib.Algebra.Category.ModuleCat.Abelian,0,Algebra
146,Mathlib.Algebra.Category.ModuleCat.Adjunctions,0,Algebra
147,Mathlib.Algebra.Category.ModuleCat.Algebra,0,Algebra
148,Mathlib.Algebra.Category.ModuleCat.Basic,0,Algebra
149,Mathlib.Algebra.Category.ModuleCat.Biproducts,0,Algebra
150,Mathlib.Algebra.Category.ModuleCat.ChangeOfRings,0,Algebra
151,Mathlib.Algebra.Category.ModuleCat.Colimits,0,Algebra
152,Mathlib.Algebra.Category.ModuleCat.Descent,0,Algebra
153,Mathlib.Algebra.Category.ModuleCat.Differentials.Basic,0,Algebra
154,Mathlib.Algebra.Category.ModuleCat.Differentials.Presheaf,0,Algebra
155,Mathlib.Algebra.Category.ModuleCat.EnoughInjectives,0,Algebra
156,Mathlib.Algebra.Category.ModuleCat.EpiMono,0,Algebra
157,Mathlib.Algebra.Category.ModuleCat.Ext.DimensionShifting,0,Algebra
158,Mathlib.Algebra.Category.ModuleCat.Ext.Finite,0,Algebra
159,Mathlib.Algebra.Category.ModuleCat.Ext.HasExt,0,Algebra
160,Mathlib.Algebra.Category.ModuleCat.ExteriorPower,0,Algebra
161,Mathlib.Algebra.Category.ModuleCat.FilteredColimits,0,Algebra
162,Mathlib.Algebra.Category.ModuleCat.Free,0,Algebra
163,Mathlib.Algebra.Category.ModuleCat.Images,0,Algebra
164,Mathlib.Algebra.Category.ModuleCat.Injective,0,Algebra
165,Mathlib.Algebra.Category.ModuleCat.Kernels,0,Algebra
166,Mathlib.Algebra.Category.ModuleCat.LeftResolution,0,Algebra
167,Mathlib.Algebra.Category.ModuleCat.Limits,0,Algebra
168,Mathlib.Algebra.Category.ModuleCat.Localization,0,Algebra
169,Mathlib.Algebra.Category.ModuleCat.Monoidal.Basic,0,Algebra
170,Mathlib.Algebra.Category.ModuleCat.Monoidal.Closed,0,Algebra
171,Mathlib.Algebra.Category.ModuleCat.Monoidal.Symmetric,0,Algebra
172,Mathlib.Algebra.Category.ModuleCat.Presheaf,0,Algebra
173,Mathlib.Algebra.Category.ModuleCat.Presheaf.Abelian,0,Algebra
174,Mathlib.Algebra.Category.ModuleCat.Presheaf.ChangeOfRings,0,Algebra
175,Mathlib.Algebra.Category.ModuleCat.Presheaf.Colimits,0,Algebra
176,Mathlib.Algebra.Category.ModuleCat.Presheaf.EpiMono,0,Algebra
177,Mathlib.Algebra.Category.ModuleCat.Presheaf.Free,0,Algebra
178,Mathlib.Algebra.Category.ModuleCat.Presheaf.Generator,0,Algebra
179,Mathlib.Algebra.Category.ModuleCat.Presheaf.Limits,0,Algebra
180,Mathlib.Algebra.Category.ModuleCat.Presheaf.Monoidal,0,Algebra
181,Mathlib.Algebra.Category.ModuleCat.Presheaf.Pullback,0,Algebra
182,Mathlib.Algebra.Category.ModuleCat.Presheaf.Pushforward,0,Algebra
183,Mathlib.Algebra.Category.ModuleCat.Presheaf.Sheafification,0,Algebra
184,Mathlib.Algebra.Category.ModuleCat.Presheaf.Sheafify,0,Algebra
185,Mathlib.Algebra.Category.ModuleCat.Products,0,Algebra
186,Mathlib.Algebra.Category.ModuleCat.Projective,0,Algebra
187,Mathlib.Algebra.Category.ModuleCat.Pseudofunctor,0,Algebra
188,Mathlib.Algebra.Category.ModuleCat.Semi,0,Algebra
189,Mathlib.Algebra.Category.ModuleCat.Sheaf,0,Algebra
190,Mathlib.Algebra.Category.ModuleCat.Sheaf.Abelian,0,Algebra
191,Mathlib.Algebra.Category.ModuleCat.Sheaf.ChangeOfRings,0,Algebra
192,Mathlib.Algebra.Category.ModuleCat.Sheaf.Colimits,0,Algebra
193,Mathlib.Algebra.Category.ModuleCat.Sheaf.Free,0,Algebra
194,Mathlib.Algebra.Category.ModuleCat.Sheaf.Generators,0,Algebra
195,Mathlib.Algebra.Category.ModuleCat.Sheaf.Limits,0,Algebra
196,Mathlib.Algebra.Category.ModuleCat.Sheaf.Localization,0,Algebra
197,Mathlib.Algebra.Category.ModuleCat.Sheaf.PullbackContinuous,0,Algebra
198,Mathlib.Algebra.Category.ModuleCat.Sheaf.PullbackFree,0,Algebra
199,Mathlib.Algebra.Category.ModuleCat.Sheaf.PushforwardContinuous,0,Algebra
200,Mathlib.Algebra.Category.ModuleCat.Sheaf.Quasicoherent,0,Algebra
201,Mathlib.Algebra.Category.ModuleCat.Simple,0,Algebra
202,Mathlib.Algebra.Category.ModuleCat.Stalk,0,Algebra
203,Mathlib.Algebra.Category.ModuleCat.Subobject,0,Algebra
204,Mathlib.Algebra.Category.ModuleCat.Tannaka,0,Algebra
205,Mathlib.Algebra.Category.ModuleCat.Topology.Basic,0,Algebra
206,Mathlib.Algebra.Category.ModuleCat.Topology.Homology,0,Algebra
207,Mathlib.Algebra.Category.ModuleCat.Ulift,0,Algebra
208,Mathlib.Algebra.Category.MonCat.Adjunctions,0,Algebra
