round,new_anchors,total_anchors,propagation_sources,avg_score,modules_remaining
0,42,42,22,0.41338973347037467,64
1,17,59,23,0.3899709264875399,47
2,17,76,23,0.36905544833736686,30
3,10,86,23,0.35682037779021536,20
4,2,88,23,0.35450057402430846,18
5,0,88,23,0.35450057402430846,18
