mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank,original_rank,reranked_score,hier_bonus
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Quaternion,GroupTheory,0.3449,0.0,0.3449,-1,,1,2,0.406,0.0276
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Dihedral,GroupTheory,0.3183,0.0,0.3183,-1,,2,3,0.3675,0.0263
extremal,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3181,0.0,0.3181,-1,,3,4,0.3541,0.0254
extremal,solvable,Mathlib.GroupTheory.Perm.Fin,GroupTheory,0.2821,0.0705,0.3526,1,MEDIUM,4,1,0.354,0.0
extremal,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3174,0.0,0.3174,-1,,5,5,0.3531,0.0254
extremal,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.3163,0.0,0.3163,-1,,6,6,0.3262,0.0
extremal,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3145,0.0,0.3145,-1,,7,7,0.3236,0.0
extremal,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3135,0.0,0.3135,-1,,8,8,0.3222,0.0
extremal,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3118,0.0,0.3118,-1,,9,9,0.3199,0.0
extremal,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3105,0.0,0.3105,-1,,10,10,0.318,0.0
hall,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.4312,0.0,0.4312,0,HIGH,1,1,0.4702,0.0345
hall,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.3452,0.0,0.3452,-1,,2,2,0.3942,0.0276
hall,solvable,Mathlib.GroupTheory.SchurZassenhaus,GroupTheory,0.3374,0.0,0.3374,-1,,3,3,0.3918,0.027
hall,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3359,0.0,0.3359,-1,,4,4,0.3805,0.0269
hall,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.3207,0.0,0.3207,-1,,5,5,0.358,0.0257
hall,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.3195,0.0,0.3195,-1,,6,6,0.3428,0.0
hall,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.3115,0.0,0.3115,-1,,7,9,0.3286,0.0
hall,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3163,0.0,0.3163,-1,,8,7,0.3262,0.0
hall,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.314,0.0,0.314,-1,,9,8,0.3229,0.0
hall,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3108,0.0,0.3108,-1,,10,10,0.3185,0.0
abelian,solvable,Mathlib.GroupTheory.FreeAbelianGroup,GroupTheory,0.4141,0.0,0.4141,0,HIGH,1,1,0.7229,0.0331
abelian,solvable,Mathlib.GroupTheory.FiniteAbelian.Basic,GroupTheory,0.3991,0.0,0.3991,-1,,2,2,0.7092,0.0319
abelian,solvable,Mathlib.GroupTheory.FiniteAbelian.Duality,GroupTheory,0.396,0.0,0.396,-1,,3,3,0.7049,0.0319
abelian,solvable,Mathlib.GroupTheory.Rank,GroupTheory,0.3752,0.0,0.3752,-1,,4,4,0.4313,0.03
abelian,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3621,0.0,0.3621,-1,,5,5,0.3829,0.0
abelian,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3572,0.0,0.3572,-1,,6,6,0.3761,0.0
abelian,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3547,0.0,0.3547,-1,,7,7,0.3726,0.0
abelian,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3508,0.0,0.3508,-1,,8,8,0.3671,0.0
abelian,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3454,0.0,0.3454,-1,,9,9,0.3596,0.0
abelian,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3377,0.0,0.3377,-1,,10,10,0.3488,0.0
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating,GroupTheory,0.3947,0.0,0.3947,0,HIGH-UNCERTAIN,1,1,0.5259,0.0308
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.Centralizer,GroupTheory,0.3743,0.0,0.3743,-1,,2,2,0.5013,0.0308
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.MaximalSubgroups,GroupTheory,0.3427,0.0,0.3427,-1,,3,3,0.4631,0.0308
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.KleinFour,GroupTheory,0.3339,0.0,0.3339,-1,,4,4,0.4507,0.0308
alt,solvable,Mathlib.GroupTheory.Perm.Closure,GroupTheory,0.308,0.0,0.308,-1,,5,5,0.3483,0.0246
alt,solvable,Mathlib.GroupTheory.GroupAction.Jordan,GroupTheory,0.3045,0.0,0.3045,-1,,6,6,0.3462,0.0244
alt,solvable,Mathlib.GroupTheory.Coxeter.Basic,GroupTheory,0.3023,0.0,0.3023,-1,,7,7,0.3399,0.0242
alt,solvable,Mathlib.GroupTheory.Perm.MaximalSubgroups,GroupTheory,0.297,0.0,0.297,-1,,8,8,0.3138,0.0
alt,solvable,Mathlib.GroupTheory.Perm.Finite,GroupTheory,0.297,0.0,0.297,-1,,9,9,0.3083,0.0
alt,solvable,Mathlib.GroupTheory.PresentedGroup,GroupTheory,0.2961,0.0,0.2961,-1,,10,10,0.307,0.0
nilpotent,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.5444,0.0,0.5444,0,HIGH,1,1,0.9077,0.0435
