mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank,original_rank,reranked_score,hier_bonus
nilpotent,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.3187,0.0,0.3187,-1,,6,7,0.3347,0.0
nilpotent,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3187,0.0,0.3187,-1,,7,6,0.3295,0.0
nilpotent,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3142,0.0,0.3142,-1,,8,8,0.3232,0.0
nilpotent,solvable,Mathlib.GroupTheory.Goursat,GroupTheory,0.3134,0.0,0.3134,-1,,9,9,0.3221,0.0
nilpotent,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3108,0.0,0.3108,-1,,10,10,0.3185,0.0
commutator,solvable,Mathlib.GroupTheory.Commutator.Basic,GroupTheory,0.4996,0.0,0.4996,0,HIGH,1,1,0.7178,0.05
commutator,solvable,Mathlib.GroupTheory.Commutator.Finite,GroupTheory,0.4969,0.0,0.4969,-1,,2,2,0.714,0.0499
commutator,solvable,Mathlib.Algebra.Group.Commutator,Algebra,0.4641,0.0,0.4641,-1,,3,3,0.6905,0.0464
commutator,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.4267,0.0,0.4267,-1,,4,4,0.516,0.0427
commutator,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3739,0.0,0.3739,-1,,5,5,0.3995,0.0
commutator,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3418,0.0,0.3418,-1,,6,6,0.3545,0.0
commutator,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3338,0.0,0.3338,-1,,7,7,0.3433,0.0
commutator,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3338,0.0,0.3338,-1,,8,8,0.3433,0.0
commutator,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3335,0.0,0.3335,-1,,9,9,0.3429,0.0
commutator,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.327,0.0,0.327,-1,,10,10,0.3338,0.0
gfunctor,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3077,0.0769,0.3846,1,MEDIUM,1,1,0.3962,0.0
gfunctor,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.299,0.0748,0.3738,-1,,2,3,0.3914,0.0
gfunctor,solvable,Mathlib.GroupTheory.ClassEquation,GroupTheory,0.2957,0.0739,0.3696,-1,,3,4,0.3834,0.0
gfunctor,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.2999,0.075,0.3748,-1,,4,2,0.3833,0.0
gfunctor,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.2933,0.0733,0.3666,-1,,5,5,0.3725,0.0
gfunctor,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2877,0.0719,0.3596,-1,,6,6,0.3672,0.0
gfunctor,solvable,Mathlib.GroupTheory.Subgroup.Centralizer,GroupTheory,0.2856,0.0714,0.357,-1,,7,7,0.3637,0.0
gfunctor,solvable,Mathlib.GroupTheory.Submonoid.Center,GroupTheory,0.2846,0.0712,0.3558,-1,,8,8,0.3622,0.0
gfunctor,solvable,Mathlib.GroupTheory.GroupAction.Quotient,GroupTheory,0.2784,0.0696,0.348,-1,,9,9,0.3549,0.0
gfunctor,solvable,Mathlib.GroupTheory.QuotientGroup.Defs,GroupTheory,0.2779,0.0695,0.3474,-1,,10,10,0.3541,0.0
