mc_module,ml_module,base_score,concept,synonym,text_v3,broad_pen,reranked
gfunctor,Mathlib.GroupTheory.Torsion,0.3748,0.0,0.0,0.0852,0.0,0.3833
gfunctor,Mathlib.GroupTheory.SpecificGroups.ZGroup,0.3738,0.0,0.0,0.1761,0.0,0.3914
gfunctor,Mathlib.GroupTheory.ClassEquation,0.3696,0.0,0.0,0.1383,0.0,0.3834
gfunctor,Mathlib.GroupTheory.Complement,0.3666,0.0,0.0,0.0589,0.0,0.3725
gfunctor,Mathlib.GroupTheory.Abelianization.Defs,0.3596,0.0,0.0,0.0758,0.0,0.3672
gfunctor,Mathlib.GroupTheory.Subgroup.Centralizer,0.357,0.0,0.0,0.0674,0.0,0.3637
gfunctor,Mathlib.GroupTheory.Submonoid.Center,0.3558,0.0,0.0,0.0636,0.0,0.3622
gfunctor,Mathlib.GroupTheory.GroupAction.Quotient,0.348,0.0,0.0,0.069,0.0,0.3549
gfunctor,Mathlib.GroupTheory.QuotientGroup.Defs,0.3474,0.0,0.0,0.0673,0.0,0.3541
primitive_action,Mathlib.GroupTheory.GroupAction.Transitive,0.4407,0.5,0.1429,0.2293,0.0,0.6001
primitive_action,Mathlib.GroupTheory.GroupAction.Primitive,0.4348,1.0,0.3333,0.2057,0.0,0.732
primitive_action,Mathlib.GroupTheory.GroupAction.Jordan,0.3512,0.5,0.1429,0.1648,0.0,0.5041
primitive_action,Mathlib.GroupTheory.GroupAction.MultiplePrimitivity,0.3455,0.5,0.1111,0.2154,0.0,0.5009
primitive_action,Mathlib.GroupTheory.GroupAction.Pointwise,0.3437,0.5,0.1429,0.1349,0.0,0.4936
primitive_action,Mathlib.GroupTheory.GroupAction.Iwasawa,0.3437,0.5,0.1429,0.1348,0.0,0.4936
primitive_action,Mathlib.GroupTheory.GroupAction.IterateAct,0.3427,0.5,0.1111,0.2042,0.0,0.497
primitive_action,Mathlib.GroupTheory.GroupAction.Blocks,0.3401,0.5,0.1429,0.1204,0.0,0.4886
primitive_action,Mathlib.GroupTheory.GroupAction.Ring,0.3383,0.5,0.1429,0.1131,0.0,0.486
primitive_action,Mathlib.GroupTheory.GroupAction.Support,0.3326,0.5,0.1429,0.0902,0.0,0.4781
pgroup,Mathlib.GroupTheory.PGroup,0.4066,1.0,0.25,0.0929,0.0,0.6859
pgroup,Mathlib.GroupTheory.Frattini,0.3167,0.0,0.0,0.1524,0.0,0.3319
pgroup,Mathlib.GroupTheory.Commensurable,0.3106,0.0,0.0,0.128,0.0,0.3234
pgroup,Mathlib.GroupTheory.Archimedean,0.3098,0.0,0.0,0.1248,0.0,0.3223
pgroup,Mathlib.GroupTheory.Subgroup.Saturated,0.3086,0.0,0.0,0.1592,0.0,0.3245
pgroup,Mathlib.GroupTheory.Schreier,0.3078,0.0,0.0,0.1167,0.0,0.3195
pgroup,Mathlib.GroupTheory.Focal,0.3074,0.0,0.0,0.1155,0.0,0.3189
pgroup,Mathlib.GroupTheory.Exponent,0.3067,0.0,0.0,0.1124,0.0,0.3179
pgroup,Mathlib.GroupTheory.Sylow,0.3044,0.0,0.0,0.1035,0.0,0.3148
pgroup,Mathlib.GroupTheory.Subgroup.Simple,0.3036,0.0,0.0,0.1393,0.0,0.3175
maximal,Mathlib.GroupTheory.Subgroup.Simple,0.3447,0.0,0.0,0.2123,0.0,0.3659
maximal,Mathlib.GroupTheory.Subgroup.Center,0.3404,0.0,0.0,0.1948,0.0,0.3599
maximal,Mathlib.GroupTheory.Subgroup.Saturated,0.3392,0.0,0.0,0.1901,0.0,0.3582
maximal,Mathlib.GroupTheory.Perm.MaximalSubgroups,0.334,1.0,0.1429,0.2612,0.0,0.6215
maximal,Mathlib.GroupTheory.Perm.Subgroup,0.323,0.0,0.0,0.1252,0.0,0.3355
maximal,Mathlib.GroupTheory.Subgroup.Centralizer,0.3093,0.0,0.0,0.0707,0.0,0.3164
maximal,Mathlib.GroupTheory.SpecificGroups.Alternating.MaximalSubgroups,0.3081,1.0,0.1,0.2323,0.0,0.5893
maximal,Mathlib.GroupTheory.Frattini,0.3017,0.0,0.0,0.4068,0.0,0.3424
maximal,Mathlib.GroupTheory.FiniteIndexNormalSubgroup,0.2916,0.0,0.0,0.1219,0.0,0.3038
maximal,Mathlib.GroupTheory.CosetCover,0.2871,0.0,0.0,0.1187,0.0,0.299
jordanholder,Mathlib.Order.JordanHolder,0.3346,0.5,0.1667,0.2383,0.0,0.4968
jordanholder,Mathlib.GroupTheory.GroupAction.Jordan,0.2978,0.0,0.0,0.1712,0.0,0.3149
jordanholder,Mathlib.GroupTheory.Nilpotent,0.2915,0.0,0.0,0.1329,0.0,0.3048
jordanholder,Mathlib.GroupTheory.Subgroup.Simple,0.2893,0.0,0.0,0.1257,0.0,0.3019
jordanholder,Mathlib.GroupTheory.Abelianization.Defs,0.2698,0.0,0.0,0.0632,0.0,0.2761
jordanholder,Mathlib.GroupTheory.IsSubnormal,0.2665,0.25,0.125,0.266,0.0,0.3656
jordanholder,Mathlib.GroupTheory.Perm.ViaEmbedding,0.257,0.0,0.0,0.0224,0.0,0.2592
jordanholder,Mathlib.GroupTheory.GroupAction.OfQuotient,0.2519,0.0,0.0,0.2077,0.0,0.2727
jordanholder,Mathlib.GroupTheory.GroupAction.Iwasawa,0.2407,0.0,0.0,0.1627,0.0,0.257
jordanholder,Mathlib.GroupTheory.ClassEquation,0.2376,0.0,0.0,0.1506,0.0,0.2527
finmodule,Mathlib.GroupTheory.Commutator.Finite,0.3072,0.0,0.0,0.1146,0.0,0.3187
finmodule,Mathlib.GroupTheory.FiniteAbelian.Basic,0.3005,0.0,0.0,0.1575,0.0,0.3163
finmodule,Mathlib.GroupTheory.Abelianization.Finite,0.2991,0.0,0.0,0.082,0.0,0.3073
finmodule,Mathlib.GroupTheory.FiniteAbelian.Duality,0.2967,0.0,0.0,0.1422,0.0,0.3109
finmodule,Mathlib.GroupTheory.Perm.Finite,0.2886,0.0,0.0,0.0403,0.0,0.2926
finmodule,Mathlib.GroupTheory.QuotientGroup.Finite,0.2884,0.0,0.0,0.0785,0.0,0.2962
finmodule,Mathlib.GroupTheory.DedekindFinite,0.2819,0.0,0.0,0.0525,0.0,0.2871
finmodule,Mathlib.GroupTheory.SpecificGroups.KleinFour,0.2818,0.0,0.0,0.1019,0.0,0.292
finmodule,Mathlib.GroupTheory.Focal,0.2781,0.0,0.0,0.3123,0.0,0.3093
finmodule,Mathlib.GroupTheory.Abelianization.Defs,0.2769,0.0,0.0,0.0862,0.0,0.2855
center,Mathlib.GroupTheory.Subgroup.Center,0.4875,1.0,0.2,0.2698,0.0,0.7805
center,Mathlib.GroupTheory.Submonoid.Center,0.4788,1.0,0.2,0.2352,0.0,0.7683
center,Mathlib.GroupTheory.Subsemigroup.Center,0.4774,1.0,0.2,0.2294,0.0,0.7663
center,Mathlib.Algebra.Group.Center,0.4113,1.0,0.3333,0.1784,0.0,0.7058
center,Mathlib.GroupTheory.Nilpotent,0.3443,0.0,0.0,0.1371,0.0,0.358
center,Mathlib.GroupTheory.Archimedean,0.3418,0.0,0.0,0.1274,0.0,0.3545
center,Mathlib.GroupTheory.Commensurable,0.3387,0.0,0.0,0.1148,0.0,0.3502
center,Mathlib.GroupTheory.Transfer,0.3358,0.0,0.0,0.103,0.0,0.3461
center,Mathlib.GroupTheory.Sylow,0.3321,0.0,0.0,0.0885,0.0,0.341
center,Mathlib.GroupTheory.Goursat,0.3316,0.0,0.0,0.0865,0.0,0.3403
sylow,Mathlib.GroupTheory.Sylow,0.4973,1.0,0.25,0.3092,0.0,0.7982
sylow,Mathlib.GroupTheory.Transfer,0.3604,0.0,0.0,0.2749,0.0,0.3879
sylow,Mathlib.GroupTheory.Frattini,0.3517,0.0,0.0,0.2403,0.0,0.3757
sylow,Mathlib.GroupTheory.SpecificGroups.ZGroup,0.3496,0.0,0.0,0.3538,0.0,0.385
sylow,Mathlib.GroupTheory.Archimedean,0.3398,0.0,0.0,0.1924,0.0,0.359
sylow,Mathlib.GroupTheory.Focal,0.3189,0.0,0.0,0.1091,0.0,0.3298
sylow,Mathlib.GroupTheory.Commensurable,0.3183,0.0,0.0,0.1065,0.0,0.329
sylow,Mathlib.GroupTheory.RegularWreathProduct,0.3148,0.0,0.0,0.2149,0.0,0.3363
sylow,Mathlib.GroupTheory.SpecificGroups.Alternating.KleinFour,0.3119,0.0,0.0,0.2641,0.0,0.3383
sylow,Mathlib.GroupTheory.Goursat,0.308,0.0,0.0,0.0655,0.0,0.3145
all_solvable,Mathlib.GroupTheory.Solvable,0.4306,0.5,0.2,0.4822,0.0,0.6198
all_solvable,Mathlib.Algebra.Lie.Solvable,0.2284,0.5,0.25,0.3636,0.0,0.4098
