mc_module,ml_module,base_score,concept,synonym,text_v3,broad_pen,reranked
choice,Mathlib.Order.Zorn,0.2416,0.2,0.2,0.1664,0.0,0.3242
choice,Mathlib.Data.Countable.Small,0.2307,0.0,0.0,0.1226,0.0,0.243
choice,Mathlib.Data.Erased,0.2251,0.0,0.0,0.1005,0.0,0.2352
choice,Mathlib.Data.Countable.Defs,0.2212,0.0,0.0,0.0847,0.0,0.2297
choice,Mathlib.Data.Set.Enumerate,0.2204,0.0,0.0,0.0817,0.0,0.2286
choice,Mathlib.Data.Fintype.Quotient,0.2201,0.0,0.0,0.0804,0.0,0.2281
ssreflect,Mathlib.Data.Matrix.Reflection,0.3142,0.0,0.0,0.0166,0.0,0.3159
ssreflect,Mathlib.Data.Fin.Tuple.Reflection,0.2969,0.0,0.0,0.021,0.0,0.299
ssreflect,Mathlib.Data.QPF.Univariate.Basic,0.2444,0.0,0.0,0.1777,0.0,0.2622
ssreflect,Mathlib.Data.QPF.Multivariate.Constructions.Cofix,0.2332,0.0,0.0,0.1327,0.0,0.2465
ssreflect,Mathlib.Data.PFunctor.Univariate.M,0.2248,0.0,0.0,0.099,0.0,0.2347
ssreflect,Mathlib.Data.QPF.Multivariate.Constructions.Fix,0.2215,0.0,0.0,0.0859,0.0,0.2301
ssreflect,Mathlib.Data.Ordmap.Ordset,0.2189,0.0,0.0,0.0758,0.0,0.2265
ssreflect,Mathlib.Data.List.InsertIdx,0.2162,0.0,0.0,0.065,0.0,0.2227
ssreflect,Mathlib.Logic.Basic,0.2147,0.0,0.0,0.0589,0.0,0.2206
ssreflect,Mathlib.Order.Zorn,0.2139,0.0,0.0,0.0555,0.0,0.2194
fintype,Mathlib.Data.Fintype.Card,0.3678,0.4,0.1667,0.2314,0.0,0.5043
fintype,Mathlib.Data.Fintype.Sets,0.3502,0.4,0.1667,0.1606,0.0,0.4796
fintype,Mathlib.Data.Finite.Defs,0.3499,0.2,0.1667,0.1596,0.0,0.4292
fintype,Mathlib.Data.Fintype.Pigeonhole,0.3491,0.4,0.1667,0.1563,0.0,0.4781
fintype,Mathlib.Data.Fintype.Quotient,0.3469,0.4,0.1667,0.1477,0.0,0.475
fintype,Mathlib.Data.Finite.Card,0.3465,0.2,0.1667,0.1459,0.0,0.4244
fintype,Mathlib.Data.Fintype.Vector,0.3446,0.4,0.1667,0.1384,0.0,0.4718
fintype,Mathlib.Data.Fintype.Option,0.3444,0.4,0.1667,0.1375,0.0,0.4715
fintype,Mathlib.Data.Fintype.Shrink,0.3442,0.4,0.1667,0.1369,0.0,0.4712
fintype,Mathlib.Data.Fintype.Defs,0.3438,0.4,0.1667,0.1352,0.0,0.4706
fingraph,Mathlib.Order.Preorder.Finite,0.3215,0.2,0.1667,0.0459,0.0,0.3894
fingraph,Mathlib.Data.Finite.Vector,0.3214,0.2,0.1667,0.0456,0.0,0.3893
fingraph,Mathlib.Data.Finite.Defs,0.321,0.2,0.1667,0.044,0.0,0.3887
fingraph,Mathlib.Order.Atoms.Finite,0.3199,0.2,0.1667,0.0396,0.0,0.3872
fingraph,Mathlib.Data.Finite.Prod,0.3185,0.2,0.1667,0.0341,0.0,0.3852
fingraph,Mathlib.Data.Finite.Set,0.3182,0.2,0.1667,0.0328,0.0,0.3848
fingraph,Mathlib.Order.Filter.Finite,0.3179,0.2,0.1667,0.0317,0.0,0.3844
fingraph,Mathlib.Data.Finite.Perm,0.317,0.2,0.1667,0.028,0.0,0.3831
fingraph,Mathlib.Data.Finite.Sum,0.3153,0.2,0.1667,0.0212,0.0,0.3807
fingraph,Mathlib.Data.Finite.Sigma,0.315,0.2,0.1667,0.0201,0.0,0.3803
prime,Mathlib.Data.List.Prime,0.4119,1.0,0.3333,0.2976,0.0,0.7183
prime,Mathlib.Data.Nat.Prime.Basic,0.3909,1.0,0.25,0.3236,0.0,0.6933
prime,Mathlib.Data.Nat.Prime.Defs,0.3799,1.0,0.25,0.2794,0.0,0.6778
prime,Mathlib.Data.Nat.PrimeFin,0.3732,1.0,0.2,0.3263,0.0,0.6718
prime,Mathlib.Data.Nat.Prime.Factorial,0.3722,1.0,0.25,0.2488,0.0,0.6671
prime,Mathlib.Data.Nat.Prime.Int,0.3698,1.0,0.25,0.2394,0.0,0.6637
prime,Mathlib.Order.PrimeIdeal,0.3671,1.0,0.25,0.2285,0.0,0.6599
prime,Mathlib.Data.Num.Prime,0.3608,1.0,0.3333,0.0934,0.0,0.6468
prime,Mathlib.Data.PNat.Prime,0.3598,1.0,0.25,0.1991,0.0,0.6497
prime,Mathlib.Data.Nat.Prime.Pow,0.3593,1.0,0.25,0.1971,0.0,0.649
monoid,Mathlib.Data.Multiset.OrderedMonoid,0.308,1.0,0.2,0.0652,0.0,0.5805
monoid,Mathlib.Order.CompleteLattice.Group,0.2955,0.0,0.0,0.0154,0.0,0.297
monoid,Mathlib.Order.Filter.Germ.OrderedMonoid,0.2947,1.0,0.1667,0.0644,0.0,0.5645
monoid,Mathlib.Order.ConditionallyCompleteLattice.Group,0.2812,0.0,0.0,0.0106,0.0,0.2823
monoid,Mathlib.Data.ZMod.QuotientGroup,0.2808,0.0,0.0,0.009,0.0,0.2817
monoid,Mathlib.Order.Filter.AtTopBot.Monoid,0.2779,1.0,0.1429,0.0365,0.0,0.543
monoid,Mathlib.Order.Filter.AtTopBot.Group,0.2712,0.0,0.0,0.01,0.0,0.2722
monoid,Mathlib.Data.Rat.Defs,0.2242,0.0,0.0,0.0966,0.0,0.2339
monoid,Mathlib.Data.Nat.Cast.Defs,0.2116,0.0,0.0,0.0464,0.0,0.2162
monoid,Mathlib.Data.Matrix.Diagonal,0.2104,0.0,0.0,0.0414,0.0,0.2145
nmodule,Mathlib.Data.DFinsupp.Module,0.2795,0.0,0.0,0.0038,0.0,0.2799
nmodule,Mathlib.Order.CompleteLattice.Group,0.2732,0.0,0.0,0.018,0.0,0.275
nmodule,Mathlib.Order.ConditionallyCompleteLattice.Group,0.2642,0.0,0.0,0.0123,0.0,0.2654
nmodule,Mathlib.Data.ZMod.QuotientGroup,0.2637,0.0,0.0,0.0104,0.0,0.2647
nmodule,Mathlib.Order.Filter.AtTopBot.Group,0.2579,0.0,0.0,0.0116,0.0,0.2591
nmodule,Mathlib.Data.Int.Cast.Defs,0.2166,0.0,0.0,0.0662,0.0,0.2232
nmodule,Mathlib.Data.Int.Cast.Basic,0.2105,0.0,0.0,0.0421,0.0,0.2147
nmodule,Mathlib.Order.DirectedInverseSystem,0.2104,0.0,0.0,0.0416,0.0,0.2146
nmodule,Mathlib.Data.SetLike.Fintype,0.2102,0.0,0.0,0.0409,0.0,0.2143
nmodule,Mathlib.Logic.Equiv.Pairwise,0.2098,0.0,0.0,0.0391,0.0,0.2137
ssrAC,Mathlib.Data.Fintype.Inv,0.25,0.0,0.0,0.0,0.0,0.25
ssrAC,Mathlib.Order.MinMax,0.2294,0.0,0.0,0.1177,0.0,0.2412
ssrAC,Mathlib.Data.Finset.Fold,0.2261,0.0,0.0,0.1043,0.0,0.2365
ssrAC,Mathlib.Order.SymmDiff,0.2246,0.0,0.0,0.0982,0.0,0.2344
ssrAC,Mathlib.Data.Multiset.Fold,0.2219,0.0,0.0,0.0876,0.0,0.2307
ssrAC,Mathlib.Data.Multiset.DershowitzManna,0.22,0.0,0.0,0.0802,0.0,0.228
ssrAC,Mathlib.Order.Lattice,0.2151,0.0,0.0,0.0605,0.0,0.2212
ssrAC,Mathlib.Logic.OpClass,0.2149,0.0,0.0,0.0597,0.0,0.2209
ssrAC,Mathlib.Data.List.InsertNth,0.2144,0.0,0.0,0.0577,0.0,0.2202
ssrAC,Mathlib.Data.Finite.Defs,0.2133,0.0,0.0,0.0531,0.0,0.2186
finfun,Mathlib.Data.Finite.Prod,0.3208,0.2,0.1667,0.1165,0.0,0.3958
finfun,Mathlib.Data.Finite.Card,0.3158,0.2,0.1667,0.0966,0.0,0.3888
finfun,Mathlib.Data.Set.Finite.Monad,0.3137,0.2,0.1429,0.1405,0.0,0.3892
finfun,Mathlib.Data.FunLike.Fintype,0.3129,0.0,0.0,0.1764,0.0,0.3305
finfun,Mathlib.Data.Finite.Defs,0.31,0.2,0.1667,0.0732,0.0,0.3807
finfun,Mathlib.Data.Set.Finite.Range,0.3075,0.2,0.1429,0.1155,0.0,0.3805
finfun,Mathlib.Data.Set.Finite.Basic,0.3064,0.2,0.1429,0.1113,0.0,0.379
finfun,Mathlib.Data.Finite.Perm,0.3043,0.2,0.1667,0.0504,0.0,0.3727
finfun,Mathlib.Data.Finite.Vector,0.3039,0.2,0.1667,0.049,0.0,0.3721
finfun,Mathlib.Order.Preorder.Finite,0.3033,0.2,0.1667,0.0465,0.0,0.3713
ssrbool,Mathlib.Data.Bool.Basic,0.3796,0.2,0.1667,0.3516,0.0,0.4781
ssrbool,Mathlib.Data.Bool.AllAny,0.3662,0.2,0.125,0.3896,0.0,0.4652
ssrbool,Mathlib.Data.Finset.BooleanAlgebra,0.3639,0.2,0.125,0.3806,0.0,0.462
ssrbool,Mathlib.Data.Bool.Set,0.3549,0.2,0.1667,0.253,0.0,0.4435
ssrbool,Mathlib.Logic.Equiv.Bool,0.3525,0.2,0.1667,0.2434,0.0,0.4402
ssrbool,Mathlib.Data.Bool.Count,0.3497,0.2,0.1667,0.2322,0.0,0.4363
ssrbool,Mathlib.Data.Set.BoolIndicator,0.3496,0.2,0.125,0.3232,0.0,0.4419
ssrbool,Mathlib.Order.BooleanAlgebra.Defs,0.3483,0.2,0.125,0.318,0.0,0.4401
ssrbool,Mathlib.Order.BooleanGenerators,0.3304,0.2,0.1429,0.2072,0.0,0.4125
ssrbool,Mathlib.Order.BooleanAlgebra.Basic,0.3251,0.2,0.125,0.2253,0.0,0.4076
ssrfun,Mathlib.Logic.Function.Coequalizer,0.3339,0.25,0.2,0.0956,0.0,0.422
ssrfun,Mathlib.Logic.Function.Iterate,0.3309,0.25,0.2,0.0834,0.0,0.4177
ssrfun,Mathlib.Logic.Function.Defs,0.3284,0.25,0.2,0.0737,0.0,0.4143
ssrfun,Mathlib.Logic.Function.Conjugate,0.3266,0.25,0.2,0.0663,0.0,0.4117
ssrfun,Mathlib.Data.PFun,0.3255,0.0,0.0,0.0622,0.0,0.3317
ssrfun,Mathlib.Logic.Function.ULift,0.3218,0.25,0.1667,0.1207,0.0,0.4097
ssrfun,Mathlib.Logic.Function.Basic,0.3209,0.25,0.2,0.0436,0.0,0.4038
ssrfun,Mathlib.Data.Set.Function,0.3164,0.25,0.2,0.0257,0.0,0.3975
ssrfun,Mathlib.Logic.Function.FromTypes,0.3129,0.25,0.1429,0.1375,0.0,0.4006
ssrfun,Mathlib.Logic.Function.OfArity,0.3085,0.25,0.1429,0.1197,0.0,0.3944
all_boot,Mathlib.Data.Bool.AllAny,0.2917,0.5,0.1667,0.0,0.0,0.43
all_boot,Mathlib.Order.UpperLower.Basic,0.2,0.0,0.0,0.0,0.0,0.2
all_boot,Mathlib.Order.Zorn,0.2,0.0,0.0,0.0,0.0,0.2
all_boot,Mathlib.Order.WithBotTop,0.2,0.0,0.0,0.0,0.0,0.2
all_boot,Mathlib.Order.WithBot,0.2,0.0,0.0,0.0,0.0,0.2
all_boot,Mathlib.Order.WellQuasiOrder,0.2,0.0,0.0,0.0,0.0,0.2
all_boot,Mathlib.Order.WellFoundedSet,0.2,0.0,0.0,0.0,0.0,0.2
all_boot,Mathlib.Order.WellFounded,0.2,0.0,0.0,0.0,0.0,0.2
all_boot,Mathlib.Order.UpperLower.Relative,0.2,0.0,0.0,0.0,0.0,0.2
all_boot,Mathlib.Order.UpperLower.Prod,0.2,0.0,0.0,0.0,0.0,0.2
finset,Mathlib.Data.Finite.Set,0.5081,0.5,0.5,0.1323,0.0,0.6863
finset,Mathlib.Data.Set.Finite.Basic,0.4603,0.5,0.4,0.1614,0.0,0.6334
finset,Mathlib.Data.Set.Finite.Lattice,0.4575,0.5,0.4,0.1501,0.0,0.6295
finset,Mathlib.Data.Set.Finite.Range,0.4555,0.5,0.4,0.1421,0.0,0.6267
finset,Mathlib.Data.Set.Finite.Monad,0.4482,0.5,0.4,0.1129,0.0,0.6165
finset,Mathlib.Data.Set.Finite.Powerset,0.4417,0.5,0.4,0.0869,0.0,0.6074
finset,Mathlib.Data.Set.Finite.List,0.4376,0.5,0.4,0.0704,0.0,0.6016
finset,Mathlib.Data.Set.Finite.Lemmas,0.4373,0.5,0.4,0.0691,0.0,0.6012
finset,Mathlib.Data.Set.FiniteExhaustion,0.3994,0.5,0.3333,0.0641,0.0,0.5575
finset,Mathlib.Data.Set.Notation,0.3482,0.25,0.2,0.1527,0.0,0.442
binomial,Mathlib.Data.Nat.Choose.Bounds,0.2799,0.0,0.0,0.3194,0.0,0.3118
binomial,Mathlib.Data.Nat.Choose.Central,0.273,0.0,0.0,0.2922,0.0,0.3022
binomial,Mathlib.Data.Nat.Choose.Sum,0.272,0.0,0.0,0.288,0.0,0.3008
binomial,Mathlib.Data.Nat.Choose.Basic,0.2703,0.0,0.0,0.281,0.0,0.2984
binomial,Mathlib.Data.Nat.Choose.Factorization,0.2685,0.0,0.0,0.274,0.0,0.2959
binomial,Mathlib.Data.Nat.Choose.Lucas,0.267,0.0,0.0,0.2679,0.0,0.2938
binomial,Mathlib.Data.Nat.Choose.Cast,0.2665,0.0,0.0,0.266,0.0,0.2931
binomial,Mathlib.Data.Fintype.EquivFin,0.2558,0.0,0.0,0.0185,0.0,0.2577
binomial,Mathlib.Order.CompactlyGenerated.Basic,0.2547,0.0,0.0,0.0152,0.0,0.2562
binomial,Mathlib.Data.Nat.Choose.Dvd,0.252,0.0,0.0,0.2079,0.0,0.2728
ssrmatching,Mathlib.Data.Analysis.Filter,0.2,0.0,0.0,0.0,0.0,0.2
ssrmatching,Mathlib.Data.Analysis.Topology,0.2,0.0,0.0,0.0,0.0,0.2
ssrmatching,Mathlib.Data.Array.Defs,0.2,0.0,0.0,0.0,0.0,0.2
ssrmatching,Mathlib.Data.Array.Extract,0.2,0.0,0.0,0.0,0.0,0.2
ssrmatching,Mathlib.Data.BitVec,0.2,0.0,0.0,0.0,0.0,0.2
ssrmatching,Mathlib.Data.Bool.AllAny,0.2,0.0,0.0,0.0,0.0,0.2
ssrmatching,Mathlib.Data.Bool.Basic,0.2,0.0,0.0,0.0,0.0,0.2
ssrmatching,Mathlib.Data.Bool.Count,0.2,0.0,0.0,0.0,0.0,0.2
ssrmatching,Mathlib.Data.Bool.Set,0.2,0.0,0.0,0.0,0.0,0.2
ssrmatching,Mathlib.Data.Bracket,0.2,0.0,0.0,0.0,0.0,0.2
div,Mathlib.Data.Nat.Digits.Div,0.4538,0.5,0.1667,0.2818,0.0,0.6203
div,Mathlib.Data.Nat.MaxPowDiv,0.3618,0.5,0.125,0.0971,0.0,0.5065
div,Mathlib.Data.Nat.ChineseRemainder,0.3567,0.0,0.0,0.3517,0.0,0.3919
div,Mathlib.Data.Nat.GCD.Basic,0.3395,0.0,0.0,0.2436,0.0,0.3639
div,Mathlib.Data.PNat.Prime,0.3373,0.0,0.0,0.2349,0.0,0.3608
div,Mathlib.Data.Int.DivMod,0.334,0.5,0.1429,0.2609,0.0,0.4965
div,Mathlib.Data.Nat.ModEq,0.3291,0.0,0.0,0.2412,0.0,0.3532
div,Mathlib.Order.Nat,0.3199,0.0,0.0,0.0394,0.0,0.3238
div,Mathlib.Data.PNat.Xgcd,0.3094,0.0,0.0,0.1232,0.0,0.3217
div,Mathlib.Data.PNat.Defs,0.3086,0.0,0.0,0.1203,0.0,0.3206
ssrnat,Mathlib.Order.Nat,0.3399,0.1667,0.1667,0.1195,0.0,0.4068
ssrnat,Mathlib.Data.Nat.PSub,0.337,0.1667,0.125,0.2337,0.0,0.412
ssrnat,Mathlib.Data.Nat.Notation,0.3334,0.1667,0.1429,0.1668,0.0,0.4032
ssrnat,Mathlib.Order.Types.Arithmetic,0.3316,0.1667,0.1429,0.1596,0.0,0.4007
ssrnat,Mathlib.Data.Nat.Bitwise,0.3291,0.1667,0.1429,0.1498,0.0,0.3972
ssrnat,Mathlib.Data.Nat.Set,0.3267,0.1667,0.1429,0.1401,0.0,0.3938
ssrnat,Mathlib.Data.PNat.Find,0.3258,0.1667,0.125,0.1891,0.0,0.3964
ssrnat,Mathlib.Data.Nat.Multiplicity,0.3254,0.1667,0.1429,0.135,0.0,0.392
ssrnat,Mathlib.Data.Nat.Count,0.3239,0.1667,0.1429,0.1289,0.0,0.3899
ssrnat,Mathlib.Data.ENat.Pow,0.322,0.1667,0.125,0.1737,0.0,0.391
path,Mathlib.Data.List.Cycle,0.3341,0.0,0.0,0.0964,0.0,0.3437
path,Mathlib.Data.List.Sort,0.2461,0.0,0.0,0.1842,0.0,0.2645
path,Mathlib.Data.PFunctor.Multivariate.W,0.2405,0.0,0.0,0.162,0.0,0.2567
path,Mathlib.Data.Multiset.Sort,0.237,0.0,0.0,0.1478,0.0,0.2518
path,Mathlib.Data.Stream.Defs,0.2356,0.0,0.0,0.1426,0.0,0.2499
path,Mathlib.Data.PFunctor.Univariate.M,0.2331,0.0,0.0,0.1325,0.0,0.2463
path,Mathlib.Data.Fin.Tuple.Sort,0.2328,0.0,0.0,0.1311,0.0,0.2459
path,Mathlib.Data.WSeq.Productive,0.2276,0.0,0.0,0.1103,0.0,0.2386
path,Mathlib.Data.Finset.Sort,0.2247,0.0,0.0,0.0986,0.0,0.2346
path,Mathlib.Data.List.NodupEquivFin,0.2233,0.0,0.0,0.0931,0.0,0.2326
all_field,Mathlib.Algebra.Field.IsField,0.4542,0.5,0.2,0.5769,0.0,0.6529
all_field,Mathlib.Algebra.Algebra.Field,0.4148,0.5,0.3333,0.126,0.0,0.5791
all_field,Mathlib.FieldTheory.PrimeField,0.3864,0.5,0.1667,0.3791,0.0,0.5626
all_field,Mathlib.FieldTheory.Cardinality,0.3799,0.5,0.2,0.2795,0.0,0.5489
all_field,Mathlib.Algebra.Field.Opposite,0.378,0.5,0.25,0.1621,0.0,0.5392
all_field,Mathlib.Algebra.Field.Shrink,0.3766,0.5,0.25,0.1564,0.0,0.5372
all_field,Mathlib.FieldTheory.Minpoly.Field,0.3753,0.5,0.2,0.2614,0.0,0.5424
all_field,Mathlib.Algebra.Field.Equiv,0.3687,0.5,0.25,0.1247,0.0,0.5262
all_field,Mathlib.Algebra.Field.Power,0.3667,0.5,0.25,0.117,0.0,0.5234
all_field,Mathlib.Algebra.Field.ZMod,0.3643,0.5,0.2,0.2171,0.0,0.527
qfpoly,Mathlib.FieldTheory.Finite.Polynomial,0.3906,0.0,0.0,0.1338,0.0,0.404
qfpoly,Mathlib.Algebra.Polynomial.FieldDivision,0.3828,0.0,0.0,0.1025,0.0,0.393
qfpoly,Mathlib.FieldTheory.KummerPolynomial,0.3765,0.0,0.0,0.1559,0.0,0.3921
qfpoly,Mathlib.Algebra.Polynomial.Eval.Irreducible,0.3426,0.0,0.0,0.2563,0.0,0.3682
qfpoly,Mathlib.FieldTheory.PolynomialGaloisGroup,0.3425,0.0,0.0,0.0811,0.0,0.3506
qfpoly,Mathlib.Algebra.Polynomial.Div,0.3292,0.0,0.0,0.15,0.0,0.3442
qfpoly,Mathlib.Algebra.Polynomial.Lifts,0.3277,0.0,0.0,0.144,0.0,0.3421
qfpoly,Mathlib.Algebra.Polynomial.Identities,0.3256,0.0,0.0,0.1358,0.0,0.3392
qfpoly,Mathlib.Algebra.Polynomial.Monic,0.3244,0.0,0.0,0.131,0.0,0.3375
qfpoly,Mathlib.Algebra.Algebra.Field,0.322,0.0,0.0,0.0481,0.0,0.3268
algnum,Mathlib.NumberTheory.Basic,0.3231,0.0,0.0,0.1255,0.0,0.3357
algnum,Mathlib.NumberTheory.Primorial,0.3213,0.0,0.0,0.1187,0.0,0.3332
algnum,Mathlib.NumberTheory.Multiplicity,0.3207,0.0,0.0,0.1162,0.0,0.3323
algnum,Mathlib.NumberTheory.Rayleigh,0.3198,0.0,0.0,0.1125,0.0,0.3311
algnum,Mathlib.NumberTheory.Ostrowski,0.3197,0.0,0.0,0.1121,0.0,0.3309
algnum,Mathlib.NumberTheory.Wilson,0.3162,0.0,0.0,0.0983,0.0,0.326
algnum,Mathlib.NumberTheory.Niven,0.3146,0.0,0.0,0.0915,0.0,0.3238
algnum,Mathlib.NumberTheory.Dioph,0.3128,0.0,0.0,0.0845,0.0,0.3213
algnum,Mathlib.NumberTheory.Cyclotomic.Gal,0.3112,0.0,0.0,0.1303,0.0,0.3242
algnum,Mathlib.NumberTheory.Padics.Hensel,0.3107,0.0,0.0,0.1285,0.0,0.3236
algC,Mathlib.FieldTheory.IsAlgClosed.AlgebraicClosure,0.3628,0.25,0.0833,0.1014,0.0,0.4421
algC,Mathlib.FieldTheory.IsAlgClosed.Basic,0.33,0.25,0.1,0.1199,0.0,0.4125
algC,Mathlib.FieldTheory.IsAlgClosed.Spectrum,0.325,0.25,0.1,0.1001,0.0,0.4055
algC,Mathlib.FieldTheory.IsAlgClosed.Classification,0.3223,0.25,0.1,0.0892,0.0,0.4017
algC,Mathlib.NumberTheory.Padics.Complex,0.2965,0.0,0.0,0.1414,0.0,0.3106
algC,Mathlib.FieldTheory.IsRealClosed.Basic,0.2955,0.0,0.0,0.1989,0.0,0.3154
algC,Mathlib.Algebra.AlgebraicCard,0.2954,0.25,0.1667,0.1065,0.0,0.3819
algC,Mathlib.FieldTheory.Minpoly.IsIntegrallyClosed,0.2791,0.0,0.0,0.1331,0.0,0.2924
algC,Mathlib.FieldTheory.IntermediateField.Algebraic,0.2724,0.0,0.0,0.0695,0.0,0.2793
algC,Mathlib.FieldTheory.AlgebraicClosure,0.272,0.0,0.0,0.0681,0.0,0.2788
separable,Mathlib.FieldTheory.Separable,0.5229,1.0,0.25,0.4115,0.0,0.8341
separable,Mathlib.FieldTheory.Extension,0.4426,0.0,0.0,0.0904,0.0,0.4516
separable,Mathlib.FieldTheory.Finite.Extension,0.4126,0.0,0.0,0.1169,0.0,0.4243
separable,Mathlib.FieldTheory.SeparableClosure,0.4107,1.0,0.1667,0.2143,0.0,0.6955
separable,Mathlib.FieldTheory.SeparableDegree,0.4068,1.0,0.1667,0.1987,0.0,0.69
separable,Mathlib.FieldTheory.KummerExtension,0.3768,0.0,0.0,0.0786,0.0,0.3847
separable,Mathlib.FieldTheory.PurelyInseparable.Basic,0.3635,0.0,0.0,0.4097,0.0,0.4045
separable,Mathlib.FieldTheory.PurelyInseparable.Tower,0.3573,0.0,0.0,0.3847,0.0,0.3958
separable,Mathlib.Algebra.Algebra.Field,0.3442,0.0,0.0,0.0269,0.0,0.3469
separable,Mathlib.FieldTheory.PurelyInseparable.Exponent,0.333,0.0,0.0,0.2876,0.0,0.3618
cyclotomic,Mathlib.Algebra.Polynomial.Roots,0.3821,0.0,0.0,0.1784,0.0,0.3999
cyclotomic,Mathlib.Algebra.Polynomial.Expand,0.3625,0.0,0.0,0.1,0.0,0.3725
cyclotomic,Mathlib.Algebra.Polynomial.Cardinal,0.3611,0.0,0.0,0.0943,0.0,0.3705
cyclotomic,Mathlib.Algebra.Polynomial.Basis,0.3609,0.0,0.0,0.0935,0.0,0.3702
cyclotomic,Mathlib.NumberTheory.Cyclotomic.CyclotomicCharacter,0.3588,1.0,0.1667,0.321,0.0,0.6542
cyclotomic,Mathlib.Algebra.Polynomial.Factors,0.3579,0.0,0.0,0.0815,0.0,0.3661
cyclotomic,Mathlib.Algebra.Polynomial.Div,0.3564,0.0,0.0,0.0758,0.0,0.364
cyclotomic,Mathlib.Algebra.Polynomial.Lifts,0.3549,0.0,0.0,0.0695,0.0,0.3618
cyclotomic,Mathlib.Algebra.Polynomial.Splits,0.3537,0.0,0.0,0.0647,0.0,0.3602
cyclotomic,Mathlib.NumberTheory.Cyclotomic.Basic,0.3536,1.0,0.2,0.2478,0.0,0.6444
falgebra,Mathlib.Algebra.Polynomial.Module.FiniteDimensional,0.4576,0.0,0.0,0.0876,0.0,0.4664
falgebra,Mathlib.Algebra.Divisibility.Finite,0.4252,0.0,0.0,0.0209,0.0,0.4273
falgebra,Mathlib.Algebra.Group.Equiv.Finite,0.3882,0.0,0.0,0.0196,0.0,0.3902
falgebra,Mathlib.Algebra.Group.Submonoid.Finite,0.3881,0.0,0.0,0.0192,0.0,0.39
falgebra,Mathlib.Algebra.Module.Presentation.Finite,0.3873,0.0,0.0,0.016,0.0,0.3889
falgebra,Mathlib.Algebra.Group.Subgroup.Finite,0.3863,0.0,0.0,0.0117,0.0,0.3875
falgebra,Mathlib.Algebra.Module.FinitePresentation,0.3706,0.0,0.0,0.054,0.0,0.376
falgebra,Mathlib.Algebra.Group.Pointwise.Set.Finite,0.3632,0.0,0.0,0.024,0.0,0.3656
falgebra,Mathlib.Algebra.Group.ConjFinite,0.3626,0.0,0.0,0.0217,0.0,0.3648
falgebra,Mathlib.Algebra.Category.Grp.FiniteGrp,0.362,0.0,0.0,0.0195,0.0,0.364
closed_field,Mathlib.FieldTheory.IsAlgClosed.Classification,0.4013,1.0,0.25,0.3165,0.0,0.7029
closed_field,Mathlib.FieldTheory.IsRealClosed.Basic,0.3947,1.0,0.25,0.29,0.0,0.6937
closed_field,Mathlib.FieldTheory.IsAlgClosed.Spectrum,0.3918,1.0,0.25,0.2783,0.0,0.6896
closed_field,Mathlib.FieldTheory.IsSepClosed,0.3856,1.0,0.2857,0.1923,0.0,0.6777
closed_field,Mathlib.FieldTheory.IsAlgClosed.Basic,0.3844,1.0,0.25,0.2485,0.0,0.6793
closed_field,Mathlib.FieldTheory.Minpoly.IsIntegrallyClosed,0.3535,1.0,0.25,0.1252,0.0,0.636
closed_field,Mathlib.FieldTheory.AxGrothendieck,0.3526,0.5,0.1429,0.3356,0.0,0.5226
closed_field,Mathlib.Algebra.Algebra.Field,0.3499,0.5,0.3333,0.0496,0.0,0.5065
closed_field,Mathlib.FieldTheory.IsAlgClosed.AlgebraicClosure,0.3327,1.0,0.2,0.1307,0.0,0.6118
closed_field,Mathlib.Algebra.Field.Power,0.3276,0.5,0.25,0.0702,0.0,0.4796
algebraics_fundamentals,Mathlib.NumberTheory.ArithmeticFunction.Misc,0.3212,0.0,0.0,0.0078,0.0,0.322
algebraics_fundamentals,Mathlib.Algebra.AlgebraicCard,0.3185,0.0,0.0,0.1599,0.0,0.3345
algebraics_fundamentals,Mathlib.NumberTheory.NumberField.CMField,0.3106,0.0,0.0,0.2226,0.0,0.3329
algebraics_fundamentals,Mathlib.NumberTheory.Padics.Complex,0.3071,0.0,0.0,0.1532,0.0,0.3224
algebraics_fundamentals,Mathlib.NumberTheory.Modular,0.3065,0.0,0.0,0.1119,0.0,0.3177
algebraics_fundamentals,Mathlib.NumberTheory.Basic,0.3005,0.0,0.0,0.0877,0.0,0.3093
algebraics_fundamentals,Mathlib.NumberTheory.NumberField.InfinitePlace.Embeddings,0.3002,0.0,0.0,0.2173,0.0,0.3219
algebraics_fundamentals,Mathlib.FieldTheory.IsAlgClosed.Basic,0.2981,0.0,0.0,0.1541,0.0,0.3135
algebraics_fundamentals,Mathlib.NumberTheory.Ostrowski,0.2941,0.0,0.0,0.0623,0.0,0.3003
algebraics_fundamentals,Mathlib.NumberTheory.Fermat,0.2938,0.0,0.0,0.061,0.0,0.2999
fieldext,Mathlib.FieldTheory.Extension,0.4371,0.0,0.0,0.0683,0.0,0.4439
fieldext,Mathlib.FieldTheory.Finite.Extension,0.4078,0.0,0.0,0.0979,0.0,0.4176
fieldext,Mathlib.FieldTheory.KummerExtension,0.377,0.0,0.0,0.0795,0.0,0.3849
fieldext,Mathlib.Algebra.Algebra.Field,0.3457,0.0,0.0,0.0328,0.0,0.349
fieldext,Mathlib.Algebra.Order.Field.Subfield,0.3378,0.0,0.0,0.1846,0.0,0.3563
