mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank
commutator,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3418,0.0,0.3418,-1,,6
commutator,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3338,0.0,0.3338,-1,,7
commutator,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3338,0.0,0.3338,-1,,8
commutator,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3335,0.0,0.3335,-1,,9
commutator,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.327,0.0,0.327,-1,,10
gfunctor,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3077,0.0769,0.3846,1,MEDIUM,1
gfunctor,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.2999,0.075,0.3748,-1,,2
gfunctor,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.299,0.0748,0.3738,-1,,3
gfunctor,solvable,Mathlib.GroupTheory.ClassEquation,GroupTheory,0.2957,0.0739,0.3696,-1,,4
gfunctor,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.2933,0.0733,0.3666,-1,,5
gfunctor,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2877,0.0719,0.3596,-1,,6
gfunctor,solvable,Mathlib.GroupTheory.Subgroup.Centralizer,GroupTheory,0.2856,0.0714,0.357,-1,,7
gfunctor,solvable,Mathlib.GroupTheory.Submonoid.Center,GroupTheory,0.2846,0.0712,0.3558,-1,,8
gfunctor,solvable,Mathlib.GroupTheory.GroupAction.Quotient,GroupTheory,0.2784,0.0696,0.348,-1,,9
gfunctor,solvable,Mathlib.GroupTheory.QuotientGroup.Defs,GroupTheory,0.2779,0.0695,0.3474,-1,,10
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Transitive,GroupTheory,0.4407,0.0,0.4407,0,HIGH,1
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Primitive,GroupTheory,0.4348,0.0,0.4348,-1,,2
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Jordan,GroupTheory,0.3512,0.0,0.3512,-1,,3
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.MultiplePrimitivity,GroupTheory,0.3455,0.0,0.3455,-1,,4
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Pointwise,GroupTheory,0.3437,0.0,0.3437,-1,,5
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.3437,0.0,0.3437,-1,,6
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.IterateAct,GroupTheory,0.3427,0.0,0.3427,-1,,7
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Blocks,GroupTheory,0.3401,0.0,0.3401,-1,,8
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Ring,GroupTheory,0.3383,0.0,0.3383,-1,,9
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Support,GroupTheory,0.3326,0.0,0.3326,-1,,10
pgroup,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.4066,0.0,0.4066,0,HIGH,1
pgroup,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3167,0.0,0.3167,-1,,2
pgroup,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3106,0.0,0.3106,-1,,3
pgroup,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3098,0.0,0.3098,-1,,4
pgroup,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.3086,0.0,0.3086,-1,,5
pgroup,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3078,0.0,0.3078,-1,,6
pgroup,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3074,0.0,0.3074,-1,,7
pgroup,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3067,0.0,0.3067,-1,,8
pgroup,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3044,0.0,0.3044,-1,,9
pgroup,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.3036,0.0,0.3036,-1,,10
maximal,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.3447,0.0,0.3447,1,MEDIUM,1
maximal,solvable,Mathlib.GroupTheory.Subgroup.Center,GroupTheory,0.3404,0.0,0.3404,-1,,2
maximal,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.3392,0.0,0.3392,-1,,3
maximal,solvable,Mathlib.GroupTheory.Perm.MaximalSubgroups,GroupTheory,0.334,0.0,0.334,-1,,4
maximal,solvable,Mathlib.GroupTheory.Perm.Subgroup,GroupTheory,0.323,0.0,0.323,-1,,5
maximal,solvable,Mathlib.GroupTheory.Subgroup.Centralizer,GroupTheory,0.3093,0.0,0.3093,-1,,6
maximal,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.MaximalSubgroups,GroupTheory,0.3081,0.0,0.3081,-1,,7
maximal,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3017,0.0,0.3017,-1,,8
maximal,solvable,Mathlib.GroupTheory.FiniteIndexNormalSubgroup,GroupTheory,0.2916,0.0,0.2916,-1,,9
maximal,solvable,Mathlib.GroupTheory.CosetCover,GroupTheory,0.2297,0.0574,0.2871,-1,,10
jordanholder,solvable,Mathlib.Order.JordanHolder,Order,0.3346,0.0,0.3346,1,MEDIUM,1
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.Jordan,GroupTheory,0.2978,0.0,0.2978,-1,,2
jordanholder,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2332,0.0583,0.2915,-1,,3
jordanholder,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2314,0.0579,0.2893,-1,,4
jordanholder,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2158,0.054,0.2698,-1,,5
jordanholder,solvable,Mathlib.GroupTheory.IsSubnormal,GroupTheory,0.2665,0.0,0.2665,-1,,6
jordanholder,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.2056,0.0514,0.257,-1,,7
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.OfQuotient,GroupTheory,0.2519,0.0,0.2519,-1,,8
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.2407,0.0,0.2407,-1,,9
jordanholder,solvable,Mathlib.GroupTheory.ClassEquation,GroupTheory,0.2376,0.0,0.2376,-1,,10
finmodule,solvable,Mathlib.GroupTheory.Commutator.Finite,GroupTheory,0.3072,0.0,0.3072,2,MEDIUM,1
finmodule,solvable,Mathlib.GroupTheory.FiniteAbelian.Basic,GroupTheory,0.3005,0.0,0.3005,-1,,2
finmodule,solvable,Mathlib.GroupTheory.Abelianization.Finite,GroupTheory,0.2991,0.0,0.2991,-1,,3
finmodule,solvable,Mathlib.GroupTheory.FiniteAbelian.Duality,GroupTheory,0.2967,0.0,0.2967,-1,,4
finmodule,solvable,Mathlib.GroupTheory.Perm.Finite,GroupTheory,0.2886,0.0,0.2886,-1,,5
finmodule,solvable,Mathlib.GroupTheory.QuotientGroup.Finite,GroupTheory,0.2884,0.0,0.2884,-1,,6
finmodule,solvable,Mathlib.GroupTheory.DedekindFinite,GroupTheory,0.2819,0.0,0.2819,-1,,7
finmodule,solvable,Mathlib.GroupTheory.SpecificGroups.KleinFour,GroupTheory,0.2255,0.0564,0.2818,-1,,8
finmodule,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.2781,0.0,0.2781,-1,,9
