round,new_anchors,total_anchors,propagation_sources,avg_score,modules_remaining
0,65,65,49,0.4430442699962622,41
1,27,92,49,0.4131354170133203,14
2,8,100,49,0.40388300069980454,6
3,3,103,49,0.40022270333413273,3
4,1,104,49,0.39877825426361224,2
5,0,104,49,0.39877825426361224,2
