mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank
commutator,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3486,0.0,0.3486,-1,,6
commutator,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3482,0.0,0.3482,-1,,7
commutator,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3395,0.0,0.3395,-1,,8
commutator,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3367,0.0,0.3367,-1,,9
commutator,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3359,0.0,0.3359,-1,,10
gfunctor,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.308,0.077,0.385,1,MEDIUM,1
gfunctor,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3003,0.0751,0.3754,-1,,2
gfunctor,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.2975,0.0744,0.3718,-1,,3
gfunctor,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.2947,0.0737,0.3684,-1,,4
gfunctor,solvable,Mathlib.GroupTheory.ClassEquation,GroupTheory,0.2902,0.0726,0.3628,-1,,5
gfunctor,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2889,0.0722,0.3611,-1,,6
gfunctor,solvable,Mathlib.GroupTheory.Subgroup.Centralizer,GroupTheory,0.2865,0.0716,0.3581,-1,,7
gfunctor,solvable,Mathlib.GroupTheory.Submonoid.Center,GroupTheory,0.2851,0.0713,0.3564,-1,,8
gfunctor,solvable,Mathlib.GroupTheory.QuotientGroup.Defs,GroupTheory,0.2832,0.0708,0.354,-1,,9
gfunctor,solvable,Mathlib.GroupTheory.GroupAction.Quotient,GroupTheory,0.28,0.07,0.35,-1,,10
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Primitive,GroupTheory,0.4321,0.0,0.4321,0,HIGH,1
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Transitive,GroupTheory,0.4203,0.0,0.4203,-1,,2
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Blocks,GroupTheory,0.3479,0.0,0.3479,-1,,3
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.MultiplePrimitivity,GroupTheory,0.347,0.0,0.347,-1,,4
