mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank
commutator,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2806,0.0,0.2806,-1,,5
commutator,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.2669,0.0,0.2669,-1,,6
commutator,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.2624,0.0,0.2624,-1,,7
commutator,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.2607,0.0,0.2607,-1,,8
commutator,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2579,0.0,0.2579,-1,,9
commutator,solvable,Mathlib.GroupTheory.Perm.Subgroup,GroupTheory,0.2571,0.0,0.2571,-1,,10
gfunctor,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.2367,0.0592,0.2959,2,MEDIUM,1
gfunctor,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.2349,0.0587,0.2937,-1,,2
gfunctor,solvable,Mathlib.GroupTheory.GroupExtension.Defs,GroupTheory,0.2241,0.056,0.2801,-1,,3
gfunctor,solvable,Mathlib.GroupTheory.Subgroup.Center,GroupTheory,0.2508,0.0,0.2508,-1,,4
gfunctor,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.2504,0.0,0.2504,-1,,5
gfunctor,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2472,0.0,0.2472,-1,,6
gfunctor,solvable,Mathlib.GroupTheory.Perm.Subgroup,GroupTheory,0.2463,0.0,0.2463,-1,,7
gfunctor,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.2454,0.0,0.2454,-1,,8
gfunctor,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.2448,0.0,0.2448,-1,,9
gfunctor,solvable,Mathlib.GroupTheory.Subgroup.Centralizer,GroupTheory,0.2428,0.0,0.2428,-1,,10
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Transitive,GroupTheory,0.4147,0.0,0.4147,0,HIGH,1
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Primitive,GroupTheory,0.3822,0.0,0.3822,-1,,2
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.IterateAct,GroupTheory,0.2859,0.0,0.2859,-1,,3
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.ConjAct,GroupTheory,0.2768,0.0,0.2768,-1,,4
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.DomAct.ActionHom,GroupTheory,0.2763,0.0,0.2763,-1,,5
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.DomAct.Basic,GroupTheory,0.2666,0.0,0.2666,-1,,6
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Blocks,GroupTheory,0.2654,0.0,0.2654,-1,,7
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.2654,0.0,0.2654,-1,,8
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Period,GroupTheory,0.2654,0.0,0.2654,-1,,9
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Ring,GroupTheory,0.2647,0.0,0.2647,-1,,10
pgroup,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.3759,0.0,0.3759,0,HIGH-UNCERTAIN,1
pgroup,solvable,Mathlib.GroupTheory.NoncommPiCoprod,GroupTheory,0.3209,0.0,0.3209,-1,,2
pgroup,solvable,Mathlib.Algebra.Group.Pi.Lemmas,Algebra,0.3014,0.0,0.3014,-1,,3
pgroup,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.2996,0.0,0.2996,-1,,4
pgroup,solvable,Mathlib.Algebra.Group.Pi.Units,Algebra,0.2968,0.0,0.2968,-1,,5
pgroup,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2933,0.0,0.2933,-1,,6
pgroup,solvable,Mathlib.GroupTheory.Perm.Subgroup,GroupTheory,0.2915,0.0,0.2915,-1,,7
pgroup,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.2884,0.0,0.2884,-1,,8
pgroup,solvable,Mathlib.GroupTheory.Subgroup.Center,GroupTheory,0.2868,0.0,0.2868,-1,,9
pgroup,solvable,Mathlib.GroupTheory.PresentedGroup,GroupTheory,0.2862,0.0,0.2862,-1,,10
maximal,solvable,Mathlib.GroupTheory.Perm.MaximalSubgroups,GroupTheory,0.3269,0.0,0.3269,1,MEDIUM,1
maximal,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.MaximalSubgroups,GroupTheory,0.3133,0.0,0.3133,-1,,2
maximal,solvable,Mathlib.GroupTheory.Subgroup.Center,GroupTheory,0.3,0.0,0.3,-1,,3
maximal,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2948,0.0,0.2948,-1,,4
maximal,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.2813,0.0,0.2813,-1,,5
maximal,solvable,Mathlib.GroupTheory.Perm.Subgroup,GroupTheory,0.276,0.0,0.276,-1,,6
maximal,solvable,Mathlib.GroupTheory.Subgroup.Centralizer,GroupTheory,0.2715,0.0,0.2715,-1,,7
maximal,solvable,Mathlib.GroupTheory.FiniteIndexNormalSubgroup,GroupTheory,0.2569,0.0,0.2569,-1,,8
maximal,solvable,Mathlib.GroupTheory.GroupAction.FixingSubgroup,GroupTheory,0.2443,0.0,0.2443,-1,,9
maximal,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.2383,0.0,0.2383,-1,,10
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.Jordan,GroupTheory,0.2346,0.0,0.2346,-1,LOW,1
jordanholder,solvable,Mathlib.Order.JordanHolder,Order,0.2311,0.0,0.2311,-1,,2
jordanholder,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.1795,0.0449,0.2244,-1,,3
jordanholder,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.1744,0.0436,0.218,-1,,4
jordanholder,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.1689,0.0422,0.2111,-1,,5
jordanholder,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.1662,0.0415,0.2077,-1,,6
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.Quotient,GroupTheory,0.2071,0.0,0.2071,-1,,7
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.OfQuotient,GroupTheory,0.2071,0.0,0.2071,-1,,8
jordanholder,solvable,Mathlib.GroupTheory.QuotientGroup.Finite,GroupTheory,0.2016,0.0,0.2016,-1,,9
jordanholder,solvable,Mathlib.GroupTheory.QuotientGroup.Basic,GroupTheory,0.2009,0.0,0.2009,-1,,10
finmodule,solvable,Mathlib.GroupTheory.FiniteAbelian.Duality,GroupTheory,0.2603,0.0,0.2603,3,MEDIUM-LOW,1
finmodule,solvable,Mathlib.GroupTheory.FiniteAbelian.Basic,GroupTheory,0.2573,0.0,0.2573,-1,,2
finmodule,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.2526,0.0,0.2526,-1,,3
finmodule,solvable,Mathlib.GroupTheory.Commutator.Finite,GroupTheory,0.2408,0.0,0.2408,-1,,4
finmodule,solvable,Mathlib.GroupTheory.QuotientGroup.Finite,GroupTheory,0.2358,0.0,0.2358,-1,,5
finmodule,solvable,Mathlib.GroupTheory.Perm.Finite,GroupTheory,0.2333,0.0,0.2333,-1,,6
finmodule,solvable,Mathlib.GroupTheory.Abelianization.Finite,GroupTheory,0.2304,0.0,0.2304,-1,,7
finmodule,solvable,Mathlib.GroupTheory.DedekindFinite,GroupTheory,0.2258,0.0,0.2258,-1,,8
finmodule,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.1741,0.0435,0.2176,-1,,9
finmodule,solvable,Mathlib.GroupTheory.FiniteIndexNormalSubgroup,GroupTheory,0.2156,0.0,0.2156,-1,,10
center,solvable,Mathlib.GroupTheory.Subgroup.Center,GroupTheory,0.3525,0.0,0.3525,0,HIGH-UNCERTAIN,1
center,solvable,Mathlib.GroupTheory.Submonoid.Center,GroupTheory,0.3411,0.0,0.3411,-1,,2
center,solvable,Mathlib.GroupTheory.Subsemigroup.Center,GroupTheory,0.3399,0.0,0.3399,-1,,3
center,solvable,Mathlib.Algebra.Group.Center,Algebra,0.2959,0.0,0.2959,-1,,4
center,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.2406,0.0,0.2406,-1,,5
center,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.2393,0.0,0.2393,-1,,6
center,solvable,Mathlib.GroupTheory.Rank,GroupTheory,0.2377,0.0,0.2377,-1,,7
center,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.2376,0.0,0.2376,-1,,8
center,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.2375,0.0,0.2375,-1,,9
center,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.2373,0.0,0.2373,-1,,10
sylow,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.5291,0.0,0.5291,0,HIGH,1
sylow,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3073,0.0,0.3073,-1,,2
sylow,solvable,Mathlib.GroupTheory.SpecificGroups.Cyclic,GroupTheory,0.2656,0.0,0.2656,-1,,3
sylow,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.2447,0.0,0.2447,-1,,4
sylow,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.2442,0.0,0.2442,-1,,5
sylow,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.MaximalSubgroups,GroupTheory,0.2439,0.0,0.2439,-1,,6
sylow,solvable,Mathlib.GroupTheory.Perm.MaximalSubgroups,GroupTheory,0.2432,0.0,0.2432,-1,,7
