mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank,original_rank,reranked_score,hier_bonus
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Quaternion,GroupTheory,0.3449,0.0,0.3449,-1,,1,2,0.4301,0.0517
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Dihedral,GroupTheory,0.3183,0.0,0.3183,-1,,2,3,0.3906,0.0494
extremal,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3181,0.0,0.3181,-1,,3,4,0.3764,0.0477
extremal,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3174,0.0,0.3174,-1,,4,5,0.3753,0.0476
extremal,solvable,Mathlib.GroupTheory.Perm.Fin,GroupTheory,0.2821,0.0705,0.3526,1,MEDIUM,5,1,0.354,0.0
extremal,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.3163,0.0,0.3163,-1,,6,6,0.3262,0.0
extremal,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3145,0.0,0.3145,-1,,7,7,0.3236,0.0
extremal,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3135,0.0,0.3135,-1,,8,8,0.3222,0.0
extremal,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3118,0.0,0.3118,-1,,9,9,0.3199,0.0
extremal,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3105,0.0,0.3105,-1,,10,10,0.318,0.0
hall,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.4312,0.0,0.4312,0,HIGH,1,1,0.5004,0.0647
hall,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.3452,0.0,0.3452,-1,,2,2,0.4184,0.0518
hall,solvable,Mathlib.GroupTheory.SchurZassenhaus,GroupTheory,0.3374,0.0,0.3374,-1,,3,3,0.4155,0.0506
hall,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3359,0.0,0.3359,-1,,4,4,0.404,0.0504
hall,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.3207,0.0,0.3207,-1,,5,5,0.3804,0.0481
hall,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.3195,0.0,0.3195,-1,,6,6,0.3428,0.0
hall,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.3115,0.0,0.3115,-1,,7,9,0.3286,0.0
